"","fit","lwr","upr"
"1",192.355981090153,60.7110512203865,324.000910959919
"2",164.510853849012,32.5535781102978,296.468129587726
"3",164.510853849012,32.5535781102978,296.468129587726
"4",164.510853849012,32.5535781102978,296.468129587726
"5",164.510853849012,32.5535781102978,296.468129587726
"6",164.510853849012,32.5535781102978,296.468129587726
"7",230.76078639626,99.2380082018993,362.28356459062
"8",174.10133374505,42.2731700919753,305.929497398125
"9",174.10133374505,42.2731700919753,305.929497398125
"10",174.10133374505,42.2731700919753,305.929497398125
"11",174.10133374505,42.2731700919753,305.929497398125
"12",174.10133374505,42.2731700919753,305.929497398125
"13",171.732661035008,39.8747435279028,303.590578542114
"14",171.732661035008,39.8747435279028,303.590578542114
"15",171.732661035008,39.8747435279028,303.590578542114
"16",171.732661035008,39.8747435279028,303.590578542114
"17",171.732661035008,39.8747435279028,303.590578542114
"18",171.732661035008,39.8747435279028,303.590578542114
"19",165.726549739998,33.7869167806873,297.666182699309
"20",165.726549739998,33.7869167806873,297.666182699309
"21",165.726549739998,33.7869167806873,297.666182699309
"22",165.726549739998,33.7869167806873,297.666182699309
"23",165.726549739998,33.7869167806873,297.666182699309
"24",165.726549739998,33.7869167806873,297.666182699309
"25",118.65673258183,-13.2050485599979,250.518513723658
"26",118.65673258183,-13.2050485599979,250.518513723658
"27",118.65673258183,-13.2050485599979,250.518513723658
"28",118.65673258183,-13.2050485599979,250.518513723658
"29",118.65673258183,-13.2050485599979,250.518513723658
"30",118.65673258183,-13.2050485599979,250.518513723658
"31",100.033817122483,-31.9909034693155,232.058537714282
"32",100.033817122483,-31.9909034693155,232.058537714282
"33",100.033817122483,-31.9909034693155,232.058537714282
"34",100.033817122483,-31.9909034693155,232.058537714282
"35",100.033817122483,-31.9909034693155,232.058537714282
"36",100.033817122483,-31.9909034693155,232.058537714282
